Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,School Type,long,lat
,Buckeye Valley Local,046755,Buckeye Valley North Elementary School,031005,"4230 State Route 203 Radnor, OH   43066-9789",K-5,-83.1463788,40.3808704
,Garaway Local,050278,Ragersville Elementary School,031021,"2405 Ragersville Rd SW Sugarcreek, OH   44681-8086",K-6,-81.630049,40.448687
,Greenfield Exempted Village,045401,Rainsboro Elementary School,031039,"12916 Barretts Mill Rd Greenfield, OH   45123-9473",K-5,-83.4217865,39.2186028
,Waterloo Local,049247,Waterloo Middle School,031054,"1464 Industry Rd Atwater, OH   44201-9349",6-8,-81.19373900000001,41.0296702
,Akron City,043489,Rankin Elementary School,031062,"415 Storer Ave Akron, OH   44320-2012",K-5,-81.5552356,41.0910824
,Plain Local,049932,Ransom H Barr Elementary School,031070,"2000 47th St NE Canton, OH   44705-2927",1-5,-81.3471287,40.849396
,Ravenna City,044685,Ravenna High School,031104,"345 E Main St Ravenna, OH   44266-3135",9-12,-81.2363724,41.1583446
,Cory-Rawson Local,047431,Cory-Rawson Elementary School,031120,"220 S Main St Rawson, OH   45881-9749",K-4,-83.7861076,40.95204
,Youngstown City Schools,045161,East High School,031138,"474 Bennington Ave Youngstown, OH   44505-3508",9-12,-80.6228052,41.1039436
,Toledo City,044909,Raymer Elementary School,031153,"550 Raymer Blvd Toledo, OH   43605-2432",K-6,-83.50991959999999,41.6407575
,Marysville Exempted Village,045476,Raymond Elementary School,031179,"21511 Main St Raymond, OH   43067-9721",K-4,-83.4651054,40.3324046
,Reading Community City,044693,Reading Community Jr/Sr High School,031187,"810 E Columbia Ave Reading, OH   45215-3930",7-12,-84.4265957,39.2208016
,Hilliard City,047019,J W Reason Elementary School,031195,"4790 Cemetery Rd Hilliard, OH   43026-1104",K-5,-83.1451967,40.0329551
,Madison Local,047886,Red Bird Elementary School,031203,"1956 Red Bird Rd Madison, OH   44057-2122",K-5,-81.06271799999999,41.8212649
,Avon Lake City,048124,Redwood Elementary School,031211,"32967 Redwood Blvd Avon Lake, OH   44012-1441",K-4,-82.0285511,41.501742
,Campbell City,043703,Campbell Middle School,031237,"2002 Community Cir Campbell, OH   44405-1482",5-8,-80.601987,41.084839
,Hubbard Exempted Village,045427,Reed Middle School,031245,"150 Hall Ave Hubbard, OH   44425-2065",5-8,-80.582317,41.15366
,Georgetown Exempted Village,045377,Georgetown Elementary School,031252,"935 Mt Orab Pike Georgetown, OH   45121-9314",K-6,-83.904772,38.8798581
,Perry Local,049924,Reedurban Elementary School,031260,"1221 Perry Dr SW Canton, OH   44710-1032",K-5,-81.44694899999999,40.790282
,Clark-Shawnee Local,046284,Reid Elementary School,031302,"3640 E High St Springfield, OH   45505-1645",1-8,-83.74269319999999,39.9137963
,Salem City,044735,Reilly Elementary School,031328,"491 Reilly Ave Salem, OH   44460-3146",3-4,-80.84919579999999,40.89884
,Galion City,044024,Intermediate Elementary School,031369,"476 Portland Way N Galion, OH   44833-1115",3-5,-82.806117,40.74214
,Parma City,044636,Renwood Elementary School,031377,"8020 Deerfield Dr Parma, OH   44129-4440",K-6,-81.7401993,41.3976706
,Revere Local,050054,Revere High School,031393,"3420 Everett Rd Richfield, OH   44286-9711",9-12,-81.6167801,41.20156799999999
,Toledo City,044909,Reynolds Elementary School,031401,"5000 Norwich Rd Toledo, OH   43615-6924",K-5,-83.6606923,41.6210131
,Reynoldsburg City,047001,Hannah J Ashton Middle School,031427,"1482 Jackson St Reynoldsburg, OH   43068-2637",5-6,-82.799672,39.9535639
,Reynoldsburg City,047001,Reynoldsburg High School,031435,"6699 E Livingston Ave Reynoldsburg, OH   43068-3688",9-12,-82.8159227,39.9429959
